sample_id,source_post_id,stratum,ai_drug_count,ai_drugs,ai_sentiments,ai_signal_strengths,keyword_match
irr-pilot-001,hmgly79,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-002,hnhtxcu,no_ai_drug_random,0,,,,no
irr-pilot-003,hp09t7w,no_ai_drug_random,0,,,,no
irr-pilot-004,hktqlme,ai_found_drug,2,statins|ivermectin,positive|mixed,moderate|weak,yes
irr-pilot-005,ho1pocl,ai_found_drug,3,alpha lipoic acid|cymbalta|potassium,positive|positive|positive,weak|moderate|moderate,yes
irr-pilot-006,hivvonz,ai_found_drug,3,methylphenidate|ritalin|glutamine,mixed|mixed|negative,weak|weak|strong,yes
irr-pilot-007,r0jlwo,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-008,hmutmtg,ai_found_drug,2,vitamins|supplements,positive|mixed,strong|strong,yes
irr-pilot-009,hjpekyp,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-010,hkauece,no_ai_drug_random,0,,,,no
irr-pilot-011,hiytu9j,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-012,hky5vqr,ai_found_drug,3,taurine|l-theanine|melatonin,positive|positive|positive,strong|strong|moderate,yes
irr-pilot-013,rsxc91,no_ai_drug_random,0,,,,no
irr-pilot-014,rcr7gz,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-015,hptx60g,ai_found_drug,1,nicotine,positive,strong,yes
irr-pilot-016,hoq941e,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-017,hp6fxec,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-018,hqkf2ei,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-019,hnx7k3u,no_ai_drug_random,0,,,,no
irr-pilot-020,hnc601f,ai_found_drug,2,omega-3|claritin,negative|negative,strong|strong,yes
irr-pilot-021,hm67tx8,ai_found_drug,1,vaccine,positive,strong,yes
irr-pilot-022,hkm283s,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-023,ho00ywj,ai_found_drug,2,abilify|mirtazapine,negative|negative,moderate|moderate,no
irr-pilot-024,hoy4wat,ai_found_drug,2,nystatin|antibiotics,positive|negative,moderate|strong,yes
irr-pilot-025,hmzu29e,no_ai_drug_random,0,,,,no
irr-pilot-026,hllda23,ai_found_drug,1,ct contrast dye,negative,moderate,no
irr-pilot-027,hm6fso4,ai_found_drug,2,pediatric vaccine|vaccine,positive|positive,moderate|strong,no
irr-pilot-028,hkfxhus,no_ai_drug_random,0,,,,no
irr-pilot-029,hko25wr,no_ai_drug_keyword_match,0,,,,yes
irr-pilot-030,rsar1a,no_ai_drug_random,0,,,,no
