s3_key,bytes,sha256,notes
FDA letter data/raw_databases/dysautonomia.db,232091648,dfd3d4960365ea80ce3671da36a0008466a6af86dc4a3fc0dd52c1c2db154588,posts=342129; users=34421; pyridostigmine_reports=1217; pyridostigmine_users=406
FDA letter data/raw_databases/mestinon_run.db,326369280,d5303dd8da23bcac25d7f3a1b121ca210ae6f5d871f7004a71f273652bc19676,posts=731526; users=27710; pyridostigmine_reports=181; pyridostigmine_users=49
FDA letter data/processed/notebooks/mestinon_predictors_analysis.ipynb,31218,eb161c74ae473c8c951964428e6901317859fe7b9a05d15ee345ee42f79883bf,
FDA letter data/processed/notebooks/mestinon_predictors_analysis_executed.ipynb,217021,c0ea1594867fd31780e3d12e4b242b73e947ea0f9bdaab6725c18e1bdec76d62,
FDA letter data/processed/notebooks/mestinon_predictors_analysis.html,482984,ccb095a10d51d9657df91daa50c1726cefe0bc7b8e6989cff075905273617a52,
FDA letter data/processed/notebooks/mestinon_pyridostigmine_analysis.ipynb,29467,a41af121f71c927306cf0520219adf6047cc7a8a54b0fddc0bb39c593adf1095,
FDA letter data/processed/notebooks/mestinon_pyridostigmine_analysis_executed.ipynb,243506,bda0e3075a1f85252191f976b267e5cf03370d178807f60e4418dfe315b01e0a,
FDA letter data/processed/notebooks/mestinon_pyridostigmine_analysis.html,510777,05f9b09ba8e9fc91547169128ee39990bf33ce4d667bb4d100b161f763b2f381,
FDA letter data/processed/mestinon_negative_reason_fragments.xlsx,117325,0704b9840eccd6f57db9d01d862c16d0f358a0e216374d9a19364e10537a9d11,
FDA letter data/processed/pipeline_intermediates/aliases_pyridostigmine.json,29,974af2bd39236a5a84d09bc29bfde735619c719ed1308683b5a52d33e26ad8e0,
FDA letter data/processed/pipeline_intermediates/tagged_mentions.json,7601637,1a1a2ff2d8932d138d5d2fef7f6dcf4420fc46bde67e4d2bbbf20fea2ea4fb0b,
FDA letter data/processed/pipeline_intermediates/canonicalized_mentions.json,7601637,1a1a2ff2d8932d138d5d2fef7f6dcf4420fc46bde67e4d2bbbf20fea2ea4fb0b,
FDA letter data/processed/pipeline_intermediates/prefilter_results.json,369122,60af2e1be40d8628a9631c35030e4fb6b51960b9d48eb3df0e5c2adbce7357a5,
FDA letter data/processed/scripts/pp_result_general.py,1779,fc5e25fd1c2d77a33c5d4aa841d9b12a04bac06d209d6a2bcf402cbc90a22d25,
FDA letter data/processed/scripts/pp_predict.py,3852,25687c9291d526ed2d281d60c5f7e983cde81edc6e881d9107f4dff29639f8bb,
FDA letter data/processed/scripts/pp_combine_exertional.py,6797,9be2b58d1c8d2671230ebf05c4b862962054980370d9022442d94648f2307cdb,
FDA letter data/processed/scripts/pp_reason.py,3826,0d7aaa2fd1cbe56782fc95a0d532018f081b6175b7decb29460c1b849f0633a7,
FDA letter data/processed/scripts/build_predict_nb.py,24472,adbccbbe9d364397260cdbf060c44da52cbfa4c22875dd9b285d2f711ee530ad,
FDA letter data/processed/scripts/build_reason_xlsx.py,12536,07b4187372504f81d11ef2ac75c760807c62344dd7cdc757fb47d89dcbb2ffe1,
FDA letter data/processed/scripts/build_mestinon_nb.py,22797,c8184dbf1e6d998ffd433301ee715b5991c5857f5cc48c152cf460d7f35ca0e2,
FDA letter data/README.md,5272,782cf8879c1e15be4aec0c16b7aec26f5cdc1ef333d2df57abe971a3dbb155b3,
FDA letter data/raw_databases/covidlonghaulers_full.db,1113874432,068d1cfdb3f65d826e62b41d4a54b9395692000be93d5e88c29c665aeb30924a,posts=1994662; users=75371; pyridostigmine_reports=1526; pyridostigmine_users=429; (also contains naltrexone_reports=16089 under separate drug_id)
